time_ms,method,roll_deg,pitch_deg,yaw_deg,compute_us
340,FUS,-0.21,28.94,-144.29,187
1345,FUS,3.30,30.18,-145.16,29
2350,FUS,5.85,31.09,-145.60,29
3355,FUS,5.73,30.99,-144.85,29
4360,FUS,3.46,30.15,-143.67,29
5365,FUS,1.39,29.38,-144.61,29
6370,FUS,0.14,28.93,-144.37,29
7375,FUS,-0.51,28.79,-144.09,29
8380,FUS,-0.69,28.68,-144.05,29
9385,FUS,-0.74,28.67,-143.83,29
10390,FUS,-0.63,28.74,-143.68,29
11395,FUS,-0.40,28.77,-143.57,29
12400,FUS,-0.29,28.79,-144.20,29
13405,FUS,-0.10,28.86,-143.88,29
14410,FUS,-0.22,28.91,-143.68,29
15415,FUS,-0.22,28.95,-143.59,29
16420,FUS,-0.18,28.86,-143.58,29
17425,FUS,-0.17,28.79,-144.22,29
18430,FUS,-0.27,28.83,-144.56,29
19435,FUS,-0.19,28.87,-144.88,29
20440,FUS,-0.13,28.90,-144.84,29
21445,FUS,-0.21,28.90,-142.62,29
22450,FUS,-0.12,28.87,-143.22,29
23455,FUS,-0.16,28.90,-143.26,29
24460,FUS,-0.16,28.81,-144.37,29
25465,FUS,-0.21,28.86,-143.76,29
26470,FUS,-0.16,28.88,-143.89,29
27475,FUS,-0.12,28.87,-143.60,29
28480,FUS,-0.22,28.92,-143.75,29
29485,FUS,-0.25,28.89,-143.19,29
30490,FUS,-0.22,28.90,-144.12,29
31495,FUS,-0.31,28.88,-143.42,29
32500,FUS,-0.26,28.89,-144.07,29
33505,FUS,-0.19,28.87,-143.94,29
34510,FUS,-0.09,28.91,-144.24,29
35515,FUS,-0.08,28.90,-143.20,29
36520,FUS,-0.12,28.90,-143.21,29
37525,FUS,-0.19,28.82,-143.41,29
38530,FUS,-0.24,28.80,-142.99,29
39535,FUS,-0.31,28.88,-143.35,29
40540,FUS,-0.23,28.91,-144.04,29
41545,FUS,-0.27,28.89,-143.16,29
42550,FUS,-0.19,28.83,-143.15,29
43555,FUS,-0.12,28.79,-143.05,29
44560,FUS,-0.11,28.86,-143.69,29
45565,FUS,-0.10,28.87,-143.81,29
46570,FUS,-0.20,28.80,-143.27,29
47575,FUS,-0.22,28.86,-143.68,29
48580,FUS,-0.28,28.90,-143.92,29
49585,FUS,-0.19,28.80,-143.32,29
50590,FUS,-0.13,28.84,-143.93,29
51595,FUS,-0.15,28.80,-143.12,29
52600,FUS,-0.24,28.96,-142.58,29
53605,FUS,-0.17,28.95,-143.87,29
54610,FUS,-0.22,28.87,-143.29,29
55615,FUS,-0.20,28.94,-143.83,29
56620,FUS,-0.23,28.85,-143.50,29
57625,FUS,-0.25,28.88,-144.40,29
58630,FUS,-0.21,28.85,-143.54,29
59635,FUS,-0.20,28.82,-143.18,29
60640,FUS,-0.12,28.87,-144.20,29
61645,FUS,-0.15,28.81,-143.99,29
62650,FUS,-0.19,28.94,-143.35,29
