time_ms,method,roll_deg,pitch_deg,yaw_deg,compute_us
340,FUS,-73.08,88.19,-58.83,197
1345,FUS,-68.75,89.42,-58.03,43
2350,FUS,-62.17,90.60,-57.30,39
3355,FUS,-53.24,90.59,-56.14,39
4360,FUS,-48.63,88.91,-56.06,39
5365,FUS,-44.78,88.09,-56.06,38
6370,FUS,-44.65,87.34,-57.76,38
7375,FUS,-45.21,87.33,-57.24,39
8380,FUS,-46.84,87.47,-57.09,39
9385,FUS,-48.41,87.27,-57.16,39
10390,FUS,-39.13,86.06,-56.46,42
11395,FUS,-44.22,87.07,-56.58,38
12400,FUS,-45.70,87.27,-56.91,39
13405,FUS,-47.50,87.46,-57.07,39
14410,FUS,-46.63,87.69,-57.40,39
15415,FUS,-45.97,87.67,-57.08,39
16420,FUS,-45.71,87.98,-57.17,39
17425,FUS,-44.02,87.94,-57.18,38
18430,FUS,-44.19,87.36,-57.77,38
19435,FUS,-43.53,87.14,-57.05,38
20440,FUS,-42.93,87.11,-57.67,38
21445,FUS,-43.25,87.20,-57.28,38
22450,FUS,-41.56,87.24,-56.68,38
23455,FUS,-42.11,87.21,-57.15,38
24460,FUS,-43.78,87.33,-56.68,38
25465,FUS,-41.90,86.99,-57.20,38
26470,FUS,-42.74,87.06,-57.53,38
27475,FUS,-45.17,87.39,-56.67,39
28480,FUS,-43.32,87.38,-57.64,38
29485,FUS,-45.46,87.29,-56.79,39
30490,FUS,-44.61,87.64,-56.98,38
31495,FUS,-45.32,87.42,-56.57,39
32500,FUS,-48.93,87.49,-57.82,39
33505,FUS,-48.38,87.30,-58.00,39
34510,FUS,-47.56,87.62,-58.21,39
35515,FUS,-50.19,87.61,-57.61,39
36520,FUS,-50.05,87.39,-57.42,39
37525,FUS,-48.11,87.48,-57.07,39
38530,FUS,-48.57,87.47,-57.40,39
39535,FUS,-47.49,87.45,-57.45,39
40540,FUS,-45.16,87.39,-57.28,39
41545,FUS,-44.25,87.34,-57.04,38
42550,FUS,-44.91,87.57,-56.82,38
43555,FUS,-46.08,87.53,-56.79,39
44560,FUS,-46.99,87.51,-57.29,39
45565,FUS,-51.16,87.61,-58.36,39
46570,FUS,-55.00,87.50,-57.52,39
47575,FUS,-65.30,88.08,-58.39,39
48580,FUS,-64.47,88.22,-57.75,39
49585,FUS,-67.40,88.09,-58.85,39
50590,FUS,-69.20,87.19,-59.08,39
51595,FUS,-69.24,87.72,-58.69,39
52600,FUS,-65.65,87.86,-58.18,39
53605,FUS,-61.75,88.19,-58.44,39
54610,FUS,-60.68,88.28,-57.74,39
55615,FUS,-62.64,88.17,-58.30,39
56620,FUS,-62.72,88.26,-58.70,39
57625,FUS,-64.53,87.96,-58.23,39
58630,FUS,-65.57,87.73,-58.24,39
59635,FUS,-64.31,87.70,-59.18,39
60640,FUS,-64.36,87.88,-58.92,39
61645,FUS,-64.34,88.00,-58.32,39
